37	81	1
10.000	0.100	0.000
-1.800E+2	-4.000E+0	0.000E+0	4.099E-2
-1.800E+2	-3.900E+0	0.000E+0	4.797E-2
-1.800E+2	-3.800E+0	0.000E+0	3.773E-2
-1.800E+2	-3.700E+0	0.000E+0	3.538E-2
-1.800E+2	-3.600E+0	0.000E+0	3.249E-2
-1.800E+2	-3.500E+0	0.000E+0	3.819E-2
-1.800E+2	-3.400E+0	0.000E+0	3.889E-2
-1.800E+2	-3.300E+0	0.000E+0	3.299E-2
-1.800E+2	-3.200E+0	0.000E+0	3.819E-2
-1.800E+2	-3.100E+0	0.000E+0	4.448E-2
-1.800E+2	-3.000E+0	0.000E+0	4.728E-2
-1.800E+2	-2.900E+0	0.000E+0	4.616E-2
-1.800E+2	-2.800E+0	0.000E+0	4.590E-2
-1.800E+2	-2.700E+0	0.000E+0	4.906E-2
-1.800E+2	-2.600E+0	0.000E+0	4.518E-2
-1.800E+2	-2.500E+0	0.000E+0	5.389E-2
-1.800E+2	-2.400E+0	0.000E+0	6.427E-2
-1.800E+2	-2.300E+0	0.000E+0	6.741E-2
-1.800E+2	-2.200E+0	0.000E+0	7.053E-2
-1.800E+2	-2.100E+0	0.000E+0	7.270E-2
-1.800E+2	-2.000E+0	0.000E+0	6.807E-2
-1.800E+2	-1.900E+0	0.000E+0	6.455E-2
-1.800E+2	-1.800E+0	0.000E+0	6.992E-2
-1.800E+2	-1.700E+0	0.000E+0	6.973E-2
-1.800E+2	-1.600E+0	0.000E+0	6.871E-2
-1.800E+2	-1.500E+0	0.000E+0	7.330E-2
-1.800E+2	-1.400E+0	0.000E+0	7.578E-2
-1.800E+2	-1.300E+0	0.000E+0	7.555E-2
-1.800E+2	-1.200E+0	0.000E+0	8.255E-2
-1.800E+2	-1.100E+0	0.000E+0	8.612E-2
-1.800E+2	-1.000E+0	0.000E+0	8.568E-2
-1.800E+2	-9.000E-1	0.000E+0	8.962E-2
-1.800E+2	-8.000E-1	0.000E+0	9.294E-2
-1.800E+2	-7.000E-1	0.000E+0	9.319E-2
-1.800E+2	-6.000E-1	0.000E+0	9.215E-2
-1.800E+2	-5.000E-1	0.000E+0	9.194E-2
-1.800E+2	-4.000E-1	0.000E+0	8.844E-2
-1.800E+2	-3.000E-1	0.000E+0	8.358E-2
-1.800E+2	-2.000E-1	0.000E+0	8.293E-2
-1.800E+2	-1.000E-1	0.000E+0	8.393E-2
-1.800E+2	0.000E+0	0.000E+0	8.528E-2
-1.800E+2	1.000E-1	0.000E+0	8.686E-2
-1.800E+2	2.000E-1	0.000E+0	8.818E-2
-1.800E+2	3.000E-1	0.000E+0	8.778E-2
-1.800E+2	4.000E-1	0.000E+0	8.460E-2
-1.800E+2	5.000E-1	0.000E+0	7.844E-2
-1.800E+2	6.000E-1	0.000E+0	7.188E-2
-1.800E+2	7.000E-1	0.000E+0	6.617E-2
-1.800E+2	8.000E-1	0.000E+0	6.109E-2
-1.800E+2	9.000E-1	0.000E+0	5.458E-2
-1.800E+2	1.000E+0	0.000E+0	5.054E-2
-1.800E+2	1.100E+0	0.000E+0	5.029E-2
-1.800E+2	1.200E+0	0.000E+0	4.832E-2
-1.800E+2	1.300E+0	0.000E+0	4.151E-2
-1.800E+2	1.400E+0	0.000E+0	4.603E-2
-1.800E+2	1.500E+0	0.000E+0	3.830E-2
-1.800E+2	1.600E+0	0.000E+0	3.892E-2
-1.800E+2	1.700E+0	0.000E+0	3.633E-2
-1.800E+2	1.800E+0	0.000E+0	3.711E-2
-1.800E+2	1.900E+0	0.000E+0	4.371E-2
-1.800E+2	2.000E+0	0.000E+0	4.771E-2
-1.800E+2	2.100E+0	0.000E+0	4.366E-2
-1.800E+2	2.200E+0	0.000E+0	3.961E-2
-1.800E+2	2.300E+0	0.000E+0	4.742E-2
-1.800E+2	2.400E+0	0.000E+0	3.739E-2
-1.800E+2	2.500E+0	0.000E+0	3.253E-2
-1.800E+2	2.600E+0	0.000E+0	3.397E-2
-1.800E+2	2.700E+0	0.000E+0	3.044E-2
-1.800E+2	2.800E+0	0.000E+0	2.646E-2
-1.800E+2	2.900E+0	0.000E+0	2.604E-2
-1.800E+2	3.000E+0	0.000E+0	3.949E-2
-1.800E+2	3.100E+0	0.000E+0	2.584E-2
-1.800E+2	3.200E+0	0.000E+0	2.684E-2
-1.800E+2	3.300E+0	0.000E+0	2.614E-2
-1.800E+2	3.400E+0	0.000E+0	2.587E-2
-1.800E+2	3.500E+0	0.000E+0	3.910E-2
-1.800E+2	3.600E+0	0.000E+0	3.245E-2
-1.800E+2	3.700E+0	0.000E+0	2.319E-2
-1.800E+2	3.800E+0	0.000E+0	2.898E-2
-1.800E+2	3.900E+0	0.000E+0	3.139E-2
-1.800E+2	4.000E+0	0.000E+0	3.969E-2
-1.700E+2	-4.000E+0	0.000E+0	3.618E-2
-1.700E+2	-3.900E+0	0.000E+0	3.760E-2
-1.700E+2	-3.800E+0	0.000E+0	3.807E-2
-1.700E+2	-3.700E+0	0.000E+0	4.183E-2
-1.700E+2	-3.600E+0	0.000E+0	2.825E-2
-1.700E+2	-3.500E+0	0.000E+0	4.519E-2
-1.700E+2	-3.400E+0	0.000E+0	3.421E-2
-1.700E+2	-3.300E+0	0.000E+0	2.969E-2
-1.700E+2	-3.200E+0	0.000E+0	3.311E-2
-1.700E+2	-3.100E+0	0.000E+0	3.898E-2
-1.700E+2	-3.000E+0	0.000E+0	4.369E-2
-1.700E+2	-2.900E+0	0.000E+0	4.460E-2
-1.700E+2	-2.800E+0	0.000E+0	4.424E-2
-1.700E+2	-2.700E+0	0.000E+0	4.768E-2
-1.700E+2	-2.600E+0	0.000E+0	5.193E-2
-1.700E+2	-2.500E+0	0.000E+0	5.821E-2
-1.700E+2	-2.400E+0	0.000E+0	6.763E-2
-1.700E+2	-2.300E+0	0.000E+0	7.233E-2
-1.700E+2	-2.200E+0	0.000E+0	7.209E-2
-1.700E+2	-2.100E+0	0.000E+0	6.991E-2
-1.700E+2	-2.000E+0	0.000E+0	6.642E-2
-1.700E+2	-1.900E+0	0.000E+0	5.817E-2
-1.700E+2	-1.800E+0	0.000E+0	5.665E-2
-1.700E+2	-1.700E+0	0.000E+0	6.253E-2
-1.700E+2	-1.600E+0	0.000E+0	6.685E-2
-1.700E+2	-1.500E+0	0.000E+0	7.204E-2
-1.700E+2	-1.400E+0	0.000E+0	7.668E-2
-1.700E+2	-1.300E+0	0.000E+0	7.220E-2
-1.700E+2	-1.200E+0	0.000E+0	6.647E-2
-1.700E+2	-1.100E+0	0.000E+0	6.714E-2
-1.700E+2	-1.000E+0	0.000E+0	6.763E-2
-1.700E+2	-9.000E-1	0.000E+0	7.306E-2
-1.700E+2	-8.000E-1	0.000E+0	8.395E-2
-1.700E+2	-7.000E-1	0.000E+0	9.332E-2
-1.700E+2	-6.000E-1	0.000E+0	9.772E-2
-1.700E+2	-5.000E-1	0.000E+0	1.031E-1
-1.700E+2	-4.000E-1	0.000E+0	1.046E-1
-1.700E+2	-3.000E-1	0.000E+0	1.035E-1
-1.700E+2	-2.000E-1	0.000E+0	1.019E-1
-1.700E+2	-1.000E-1	0.000E+0	1.014E-1
-1.700E+2	0.000E+0	0.000E+0	1.011E-1
-1.700E+2	1.000E-1	0.000E+0	9.767E-2
-1.700E+2	2.000E-1	0.000E+0	9.529E-2
-1.700E+2	3.000E-1	0.000E+0	9.162E-2
-1.700E+2	4.000E-1	0.000E+0	8.458E-2
-1.700E+2	5.000E-1	0.000E+0	7.596E-2
-1.700E+2	6.000E-1	0.000E+0	6.621E-2
-1.700E+2	7.000E-1	0.000E+0	5.734E-2
-1.700E+2	8.000E-1	0.000E+0	4.850E-2
-1.700E+2	9.000E-1	0.000E+0	4.075E-2
-1.700E+2	1.000E+0	0.000E+0	3.664E-2
-1.700E+2	1.100E+0	0.000E+0	3.972E-2
-1.700E+2	1.200E+0	0.000E+0	3.566E-2
-1.700E+2	1.300E+0	0.000E+0	4.614E-2
-1.700E+2	1.400E+0	0.000E+0	2.657E-2
-1.700E+2	1.500E+0	0.000E+0	3.709E-2
-1.700E+2	1.600E+0	0.000E+0	3.917E-2
-1.700E+2	1.700E+0	0.000E+0	3.868E-2
-1.700E+2	1.800E+0	0.000E+0	4.423E-2
-1.700E+2	1.900E+0	0.000E+0	4.096E-2
-1.700E+2	2.000E+0	0.000E+0	4.399E-2
-1.700E+2	2.100E+0	0.000E+0	4.641E-2
