37	81	1
10.000	0.100	0.000
-1.800E+2	-4.000E+0	0.000E+0	9.212E-3
-1.800E+2	-3.900E+0	0.000E+0	1.105E-2
-1.800E+2	-3.800E+0	0.000E+0	1.221E-2
-1.800E+2	-3.700E+0	0.000E+0	1.931E-2
-1.800E+2	-3.600E+0	0.000E+0	2.450E-2
-1.800E+2	-3.500E+0	0.000E+0	2.742E-2
-1.800E+2	-3.400E+0	0.000E+0	2.554E-2
-1.800E+2	-3.300E+0	0.000E+0	2.711E-2
-1.800E+2	-3.200E+0	0.000E+0	3.001E-2
-1.800E+2	-3.100E+0	0.000E+0	2.950E-2
-1.800E+2	-3.000E+0	0.000E+0	3.108E-2
-1.800E+2	-2.900E+0	0.000E+0	3.674E-2
-1.800E+2	-2.800E+0	0.000E+0	3.844E-2
-1.800E+2	-2.700E+0	0.000E+0	3.494E-2
-1.800E+2	-2.600E+0	0.000E+0	3.621E-2
-1.800E+2	-2.500E+0	0.000E+0	3.933E-2
-1.800E+2	-2.400E+0	0.000E+0	4.527E-2
-1.800E+2	-2.300E+0	0.000E+0	5.564E-2
-1.800E+2	-2.200E+0	0.000E+0	6.474E-2
-1.800E+2	-2.100E+0	0.000E+0	6.815E-2
-1.800E+2	-2.000E+0	0.000E+0	6.814E-2
-1.800E+2	-1.900E+0	0.000E+0	6.536E-2
-1.800E+2	-1.800E+0	0.000E+0	6.244E-2
-1.800E+2	-1.700E+0	0.000E+0	6.516E-2
-1.800E+2	-1.600E+0	0.000E+0	7.579E-2
-1.800E+2	-1.500E+0	0.000E+0	8.612E-2
-1.800E+2	-1.400E+0	0.000E+0	9.488E-2
-1.800E+2	-1.300E+0	0.000E+0	9.857E-2
-1.800E+2	-1.200E+0	0.000E+0	9.366E-2
-1.800E+2	-1.100E+0	0.000E+0	8.094E-2
-1.800E+2	-1.000E+0	0.000E+0	7.262E-2
-1.800E+2	-9.000E-1	0.000E+0	7.390E-2
-1.800E+2	-8.000E-1	0.000E+0	8.379E-2
-1.800E+2	-7.000E-1	0.000E+0	1.001E-1
-1.800E+2	-6.000E-1	0.000E+0	1.131E-1
-1.800E+2	-5.000E-1	0.000E+0	1.165E-1
-1.800E+2	-4.000E-1	0.000E+0	1.135E-1
-1.800E+2	-3.000E-1	0.000E+0	1.078E-1
-1.800E+2	-2.000E-1	0.000E+0	1.005E-1
-1.800E+2	-1.000E-1	0.000E+0	9.336E-2
-1.800E+2	0.000E+0	0.000E+0	8.993E-2
-1.800E+2	1.000E-1	0.000E+0	9.007E-2
-1.800E+2	2.000E-1	0.000E+0	8.972E-2
-1.800E+2	3.000E-1	0.000E+0	8.759E-2
-1.800E+2	4.000E-1	0.000E+0	8.208E-2
-1.800E+2	5.000E-1	0.000E+0	7.431E-2
-1.800E+2	6.000E-1	0.000E+0	6.486E-2
-1.800E+2	7.000E-1	0.000E+0	5.558E-2
-1.800E+2	8.000E-1	0.000E+0	5.046E-2
-1.800E+2	9.000E-1	0.000E+0	4.645E-2
-1.800E+2	1.000E+0	0.000E+0	4.381E-2
-1.800E+2	1.100E+0	0.000E+0	4.554E-2
-1.800E+2	1.200E+0	0.000E+0	4.668E-2
-1.800E+2	1.300E+0	0.000E+0	4.473E-2
-1.800E+2	1.400E+0	0.000E+0	4.130E-2
-1.800E+2	1.500E+0	0.000E+0	3.990E-2
-1.800E+2	1.600E+0	0.000E+0	3.812E-2
-1.800E+2	1.700E+0	0.000E+0	3.079E-2
-1.800E+2	1.800E+0	0.000E+0	2.316E-2
-1.800E+2	1.900E+0	0.000E+0	2.064E-2
-1.800E+2	2.000E+0	0.000E+0	2.648E-2
-1.800E+2	2.100E+0	0.000E+0	3.701E-2
-1.800E+2	2.200E+0	0.000E+0	4.287E-2
-1.800E+2	2.300E+0	0.000E+0	4.406E-2
-1.800E+2	2.400E+0	0.000E+0	4.576E-2
-1.800E+2	2.500E+0	0.000E+0	4.648E-2
-1.800E+2	2.600E+0	0.000E+0	4.405E-2
-1.800E+2	2.700E+0	0.000E+0	3.833E-2
-1.800E+2	2.800E+0	0.000E+0	3.486E-2
-1.800E+2	2.900E+0	0.000E+0	3.819E-2
-1.800E+2	3.000E+0	0.000E+0	4.358E-2
-1.800E+2	3.100E+0	0.000E+0	4.394E-2
-1.800E+2	3.200E+0	0.000E+0	4.000E-2
-1.800E+2	3.300E+0	0.000E+0	3.576E-2
-1.800E+2	3.400E+0	0.000E+0	3.510E-2
-1.800E+2	3.500E+0	0.000E+0	3.253E-2
-1.800E+2	3.600E+0	0.000E+0	2.957E-2
-1.800E+2	3.700E+0	0.000E+0	2.713E-2
-1.800E+2	3.800E+0	0.000E+0	2.904E-2
-1.800E+2	3.900E+0	0.000E+0	3.019E-2
